"city","site","variable","value","year"
"lrar","LRAR-DDT1","Median value",2064.85758750068,1
"lrar","LRAR-DDT2","Median value",941.106993754589,1
"lrar","LRAR-EAS1","Median value",11500.6885625637,1
"lrar","LRAR-EMR1","Median value",43516.7577085311,1
"lrar","LRAR-KNO1","Median value",56472.6992327534,1
"lrar","LRAR-MAU2","Median value",10603.8439187872,1
"lrar","LRAR-MUR1","Median value",70093.5149901811,1
"lrar","LRAR-MUR2","Median value",88304.0633161736,1
"lrar","LRAR-OTT1","Median value",941.106993754417,1
"lrar","LRAR-PIN1","Median value",8944.3489603843,1
"lrar","LRAR-PIN2","Median value",7183.21880826981,1
"lrar","LRAR-REB1","Median value",87961.8789685455,1
"lrar","LRAR-RIC1","Median value",2906.07174097847,1
"lrar","LRAR-RIV1","Median value",91323.3403709307,1
"lrar","LRAR-ROS1","Median value",11904.6169487413,1
"lrar","LRAR-SHE1","Median value",17036.2266714077,1
"lrar","LRAR-TMP1","Median value",121624.405382306,1
"lrar","LRAR-TRP1","Median value",10642.1723056089,1
"lrar","LRAR-TRP2","Median value",10457.2666036506,1
"lrar","LRAR-TRP3","Median value",11405.1535845163,1
"lrar","LRAR-WIL1","Median value",962.292619099214,1
"jams","MAN","Median value",56547.3807516924,1
"jams","MAP","Median value",42890.5215090955,1
"jams","MAS","Median value",2396.91343754758,1
"slmo","MEP1","Median value",129344.895848174,1
"jams","MFP","Median value",24261.4490130914,1
"hote","MGP","Median value",102179.270363101,1
"jams","MIP","Median value",76683.2825866666,1
"slmo","MLP1","Median value",39055.2165241188,1
"jams","MOC","Median value",29857.8497958531,1
"hote","MOCC","Median value",8976.33083569174,1
"jams","MON","Median value",890.045522370899,1
"hote","MPNA1","Median value",190694.238812155,1
"hote","MPNA2","Median value",516898.193028365,1
"jams","NAC","Median value",25319.7645378841,1
"jams","NON","Median value",66319.4738882456,1
"jams","NTE","Median value",76931.8188592282,1
"jams","NTW","Median value",7163.33191989295,1
"jams","OLS","Median value",25178.2129521672,1
"slmo","OWP1","Median value",90170.9587205206,1
"jams","PAG","Median value",8032.85811472308,1
