"Site","City","gentrifying","mean_19","mu","sd"
"M03-GWP1","inin",TRUE,0.0110679056731628,4.492,1.15230272077786
"M03-ISD1","inin",FALSE,0.141168693216225,10.27,1.4337053749709
"M04-BAS1","inin",FALSE,0.124369825061227,9.18,1.29889854395388
"M04-FRP1","inin",FALSE,-0.102520846484058,12.9284,1.40842826371626
"M04-MAP1","inin",FALSE,-0.15736914623392,8.9006,1.48659397023076
"M05-ISB2","inin",FALSE,-0.180803740441796,9.9028,1.64933205245149
"M05-SGC1","inin",FALSE,-0.0214478858755202,11.4984,1.09555350736397
"M06-MCP1","inin",FALSE,-0.0527006317794633,12.3258,1.30889151551986
"M06-PGC1","inin",FALSE,0.0039299967875428,11.3606,1.34511319445658
"M07-CAC1","inin",FALSE,0.0421936829764688,9.6758,1.43370340764477
"M07-CCT1","inin",FALSE,-0.0892012889269662,12.7478,1.38324901430188
"M07-WFD1","inin",FALSE,-0.0143136173384463,13.27,1.39208030569917
"M08-FTP1","inin",FALSE,-0.0721638507565722,12.0656,1.43795347005263
"M08-MMT2","inin",FALSE,0.0853592453116958,11.9464,1.22303973984538
"M08-WGP1","inin",FALSE,-0.128395732788859,8.944,1.50801817753128
"W01-GFP3","inin",TRUE,0.200320715779236,10.3828,1.10349793907388
"W01-HCC1","inin",TRUE,0.188881907388575,6.6282,1.1756875470301
"W01-WRG1","inin",FALSE,0.196217513612637,9.9424,0.912605506098858
"W02-CRS2","inin",TRUE,0.191672887054691,12.1602,1.02212763830248
"W02-EMP1","inin",TRUE,0.243594015325676,10.467,1.1237275260091
"W02-IZO3","inin",TRUE,0.322706136454855,12.8358,0.872347727750593
"W03-CHC1","inin",TRUE,-0.170764296474496,10.9102,1.64154649491843
"W03-MEL1","inin",FALSE,-0.0385563926944282,13.6304,1.12643224826085
"W03-RGC1","inin",FALSE,-0.0707009045275032,9.9508,1.65412411424206
"W04-JSP1","inin",TRUE,-0.129928184569508,13.7266,1.38312510172052
"W04-ROW1","inin",FALSE,0.0451624777087907,9.449,1.34482739120767
"W04-WPC1","inin",TRUE,-0.142124977293008,12.364,1.51431919770123
"W05-CPE1","inin",FALSE,0.0747064244609087,10.8018,1.2005019787573
"W05-IHS1","inin",FALSE,-0.0661909860506703,10.7374,1.41804210398766
"W06-CNP1","inin",FALSE,-0.145085390373903,10.3292,1.3195361287661
"W06-UHS1","inin",FALSE,-0.134887732033873,6.9974,0.952247129120894
"W07-INA1","inin",FALSE,-0.205894678717071,11.0524,1.46399552478118
"W07-UES2","inin",FALSE,-0.211117267606614,12.1808,1.6006947881345
"W07-WAF1","inin",FALSE,-0.330299024667866,13.596,1.50334161360665
"W08-NST3","inin",FALSE,-0.285891816667844,10.194,1.46792198668451
"W08-ROS1","inin",FALSE,-0.313668004418273,12.8738,1.16006151067161
"A01-RES1","ioio",FALSE,-0.109963113906697,15.004,1.14692941780124
"A01-WMA1","ioio",FALSE,-0.117982872537267,14.6884,1.12692476762487
"A01-WMA2","ioio",FALSE,-0.164979433480525,11.6714,1.48400218749788
"A01-WMA3","ioio",FALSE,-0.147928614556628,14.0698,1.21721989995932
"A02-FUH1","ioio",FALSE,-0.109304802520383,13.141,1.19474034036529
"A02-MET1","ioio",FALSE,-0.0203066063163223,10.956,1.22799250531859
"A02-RES2","ioio",FALSE,-0.133863499408899,13.0774,1.38325410477745
"A02-WMA4","ioio",FALSE,-0.163531269691347,13.8604,1.28827162072047
"A03-CNA1","ioio",FALSE,0.100205843710715,10.4244,1.54672657978795
"A03-JOY1","ioio",FALSE,0.186348455394563,10.079,1.15248628839088
"A03-YSC1","ioio",FALSE,0.0494498693058928,10.9784,1.44067642089053
"A04-AUB1","ioio",FALSE,-0.0501405649729803,12.1012,1.23566335738605
"A04-DOV1","ioio",FALSE,-0.0200738640155233,11.742,1.19051226952635
"A04-PEN1","ioio",FALSE,0.190260466250166,12.1728,1.01977848066623
"A04-WAT1","ioio",FALSE,-0.00923502317454422,12.627,1.29807858067234
"A05-BEN1","ioio",TRUE,0.365057240435771,9.5966,1.14425971967085
"A05-CRE1","ioio",FALSE,0.264565904254922,7.205,0.982226019605833
"A05-SAN1","ioio",FALSE,0.275824090158313,12.4014,1.0960466703844
"A05-SHI1","ioio",FALSE,0.00883719576189576,12.6348,1.13793142921158
"A06-SHP1","ioio",FALSE,0.0852291602065448,10.6386,1.08711839524546
"A06-SYC1","ioio",FALSE,0.0731708071267047,10.3724,1.08312181705204
"A06-SYC2","ioio",FALSE,-0.117250187935092,12.7848,1.16239373356809
"A06-TTB1","ioio",TRUE,-0.105956541684376,12.4524,1.31608535290506
"A07-CCG2","ioio",FALSE,0.295751396015951,11.1336,1.00337051505319
"A07-UIO1","ioio",FALSE,0.118151796309697,13.4336,1.08675077430342
"A08-PET1","ioio",FALSE,-0.164868260996894,11.217,1.44662695464628
"A08-RES3","ioio",FALSE,-0.125818021289222,13.5744,1.30199987739483
"A08-RES4","ioio",FALSE,-0.114184508293966,12.1758,1.22621167789897
"A08-TCP1","ioio",FALSE,-0.167466567370777,11.8854,1.51179494138225
"A09-HRP1","ioio",FALSE,0.0917257915527888,10.5518,1.13453699580003
"A09-KEN1","ioio",FALSE,-0.0803381750370082,12.715,1.37191524165528
"A09-TOK1","ioio",FALSE,-0.12601183142091,12.15,1.44440896682785
