"Site","City","Season","gentrifying","mean_19","mu","sd"
"SFCA-C02-GLN1","baca","JA21",FALSE,0.103346782169429,4.5128,0.671923588014897
"SFCA-C02-IGB1","baca","JA21",FALSE,0.0717003937675989,3.4913,0.667059822565179
"SFCA-C02-LGH1","baca","JA21",FALSE,0.0381817691257649,3.4986,0.661393819277454
"SFCA-C02-MTD1","baca","JA21",FALSE,0.0919178431734219,0.5347,0.685596757789467
"SFCA-C03-ALA1","baca","JA21",TRUE,0.303785132217073,3.9748,0.909641525421128
"SFCA-C03-BER1","baca","JA21",FALSE,0.325394324776759,2.6179,0.727153673748902
"SFCA-C03-BVH1","baca","JA21",TRUE,0.0907919760625849,1.9418,0.906473898958458
"SFCA-C03-JMP1","baca","JA21",TRUE,0.0540556946271979,3.8675,0.877964026645288
"SFCA-C03-JMP2","baca","JA21",FALSE,0.119458970085683,1.5454,0.684240936049471
"SFCA-C03-JMP3","baca","JA21",TRUE,0.0421158665469689,2.9598,0.911409362856598
"SFCA-D01-PIO1","baca","JA21",TRUE,0.145086449054876,2.9035,0.891216683370364
"SFCA-D01-POT1","baca","JA21",FALSE,0.356810547036083,1.6368,0.728380953815645
"SFCA-D01-RUS1","baca","JA21",FALSE,0.295330766260436,0.587,0.700913780726846
"SFCA-O01-GGP1","baca","JA21",FALSE,0.00416413778173685,1.5054,0.681334911571521
"SFCA-O01-LPK1","baca","JA21",FALSE,-0.0261172651398962,3.3752,1.38881886572158
